login_id,user_id,timestamp,ip_address,city,country,geolocation_lat,geolocation_lon,user_agent,login_success,mfa_change_flag,impossible_travel_flag,typing_cadence_ms,session_id
LGN0000000,U0189,2026-03-01T08:08:21.598469,179.52.80.136,Huffmanport,GN,69.2215915,49.846546,Opera/9.12.(X11; Linux x86_64; mi-NZ) Presto/2.9.174 Version/11.00,1,1,0,177,abe08fc5-b0ae-48a8-b483-7bcd498f6664
LGN0000001,U0377,2026-03-02T02:34:21.598677,58.93.166.148,Holmesberg,AO,35.939685,126.317615,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ve-ZA) AppleWebKit/533.43.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.43.5",1,0,0,130,bb6ab23c-c26e-489e-bebd-0480d35a9379
LGN0000002,U0048,2026-02-26T18:37:21.598804,130.244.127.17,South Aliciahaven,JM,41.8728695,91.052835,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.1),1,0,0,201,27a34220-ba2c-4842-9b9d-450346630e91
LGN0000003,U0251,2026-02-28T12:07:21.598901,70.150.133.91,South Traceyborough,LV,9.1229875,-47.073619,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/50.0.855.0 Safari/536.2",1,0,0,394,a92867c6-8a05-4611-bf51-f96b3cee172f
LGN0000004,U0393,2026-03-04T13:25:21.599019,154.122.11.70,Nashton,KP,-6.7934035,-151.188337,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; mr-IN) AppleWebKit/535.21.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6535.21.7",0,0,0,274,539d5fd0-d7f9-4e9c-9013-911373650146
LGN0000005,U0273,2026-03-01T14:00:21.599135,220.236.149.137,South Angelaport,ST,48.1002205,104.208126,Opera/9.19.(X11; Linux x86_64; om-ET) Presto/2.9.167 Version/11.00,1,0,0,181,f63403f3-fd5c-46a0-bce8-57d8c94d3046
LGN0000006,U0098,2026-03-04T04:45:21.599235,216.230.236.224,Bonnieberg,NI,-81.265907,-67.797749,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_3 rv:3.0; ky-KG) AppleWebKit/533.26.3 (KHTML, like Gecko) Version/4.0 Safari/533.26.3",1,0,0,389,8e798f63-8441-4f3e-9e13-638a822d66cb
LGN0000007,U0480,2026-03-03T00:23:21.599339,186.199.139.174,South Patrickside,SE,22.820708,-170.659372,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/32.0.816.0 Safari/533.1",1,0,0,333,c2878c92-4de7-494b-83e0-fadf7e3b97b3
LGN0000008,U0244,2026-03-04T19:05:21.599452,199.105.198.72,Chasefort,PK,-13.963145,46.712921,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1 rv:6.0; uz-UZ) AppleWebKit/532.50.2 (KHTML, like Gecko) Version/5.0 Safari/532.50.2",1,0,0,221,4a06fea0-11ae-4b27-bc16-284f51531f1b
LGN0000009,U0003,2026-02-28T14:07:21.599551,31.132.83.233,Mckayborough,MD,-65.119217,-78.450427,Mozilla/5.0 (Android 4.1.2; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,1,0,0,340,5e7e7428-98c5-4ee9-8829-fa430ac11055
