transaction_id,user_id,timestamp,amount,currency,transaction_type,merchant_id,merchant_category,ip_address,device_id,geolocation_lat,geolocation_lon,status,is_fraud
TXN0000000,U0327,2026-03-04T05:35:20.837620,13.48,USD,wire_transfer,MER-CXvp-7162,crypto,35.147.207.14,DEV-58942545,-17.2643035,-16.632047,approved,0
TXN0000001,U0216,2026-03-05T03:19:20.843422,15.87,USD,purchase,MER-geLy-4619,atm,54.239.183.251,DEV-60079158,-50.627123,57.426993,approved,0
TXN0000002,U0214,2026-03-02T23:48:20.843503,225.16,USD,purchase,MER-RolO-8219,wire,220.54.193.105,DEV-54233398,12.8569775,-107.352995,approved,0
TXN0000003,U0079,2026-03-03T01:12:20.843576,478.65,USD,atm_withdrawal,MER-wbid-8944,crypto,163.107.187.18,DEV-06361861,33.450236,153.649572,approved,0
TXN0000004,U0022,2026-02-28T06:32:20.843646,268.58,USD,atm_withdrawal,MER-mgmw-0050,crypto,4.28.98.224,DEV-59233175,3.7056795,131.48022,approved,0
TXN0000005,U0185,2026-02-26T22:20:20.843715,96.95,USD,bill_pay,MER-ZRWG-6033,travel,44.124.21.29,DEV-20338276,-58.3295715,98.048802,approved,0
TXN0000006,U0194,2026-03-02T08:05:20.843782,227.25,USD,wire_transfer,MER-kqTy-8409,atm,147.40.203.122,DEV-36298947,-48.0612125,124.90368,declined,0
TXN0000007,U0331,2026-03-04T16:30:20.843850,304.96,USD,purchase,MER-WBGI-6683,atm,12.156.7.146,DEV-69269466,66.3307345,167.45739,approved,0
TXN0000008,U0112,2026-03-01T19:26:20.843916,421.58,USD,purchase,MER-IRAA-5981,food,210.92.166.175,DEV-47759513,-52.138703,139.538472,approved,0
TXN0000009,U0467,2026-02-27T01:07:20.843981,438.31,USD,bill_pay,MER-ipCU-8240,wire,166.154.17.32,DEV-27311499,12.394438,108.857569,approved,0
TXN0000010,U0071,2026-03-02T16:39:20.844045,372.75,USD,purchase,MER-Usij-8991,food,147.206.87.138,DEV-12173883,76.524695,142.360532,approved,0
TXN0000011,U0070,2026-02-27T16:51:20.844114,247.26,USD,purchase,MER-BnhB-7945,atm,128.199.236.87,DEV-16762784,-11.9266925,178.750253,approved,0
